"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 20 19:35:19 AMT 2024","Mon May 20 19:35:26 AMT 2024","6309","chromium","loginPage.spec.js","","","","Ensure that the login button is unclickable when both the login and password fields are empty.",""
"passed","Mon May 20 19:36:17 AMT 2024","Mon May 20 19:36:19 AMT 2024","1840","webkit","loginPage.spec.js","","","","Authorization with valid credentials",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:19 AMT 2024","1610","chromium","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:36:21 AMT 2024","Mon May 20 19:36:22 AMT 2024","1604","webkit","loginPage.spec.js","","","","Authorization with an empty username and password",""
"failed","Mon May 20 19:35:53 AMT 2024","Mon May 20 19:35:59 AMT 2024","5961","firefox","sortingBar.spec.js","","","","Verify that sorting menu bar contains 4 sorting functions",""
"passed","Mon May 20 19:36:19 AMT 2024","Mon May 20 19:36:21 AMT 2024","1889","webkit","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:35:16 AMT 2024","Mon May 20 19:35:18 AMT 2024","1571","chromium","loginPage.spec.js","","","","Authorization with invalid username and valid password",""
"passed","Mon May 20 19:36:19 AMT 2024","Mon May 20 19:36:21 AMT 2024","1663","webkit","loginPage.spec.js","","","","Authorization with empty username",""
"passed","Mon May 20 19:35:47 AMT 2024","Mon May 20 19:35:50 AMT 2024","3485","firefox","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:36:06 AMT 2024","Mon May 20 19:36:13 AMT 2024","7612","webkit","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
"failed","Mon May 20 19:36:22 AMT 2024","Mon May 20 19:36:24 AMT 2024","2249","webkit","sortingBar.spec.js","","","","Verify that sorting menu bar contains 4 sorting functions",""
"passed","Mon May 20 19:35:22 AMT 2024","Mon May 20 19:35:23 AMT 2024","1608","chromium","sortingBar.spec.js","","","","Verify Sorting in Low to High Order is working as expected, async",""
"passed","Mon May 20 19:35:51 AMT 2024","Mon May 20 19:35:54 AMT 2024","3022","firefox","loginPage.spec.js","","","","Ensure that login is possible with the Enter button.",""
"passed","Mon May 20 19:35:28 AMT 2024","Mon May 20 19:35:40 AMT 2024","12488","firefox","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:36:13 AMT 2024","Mon May 20 19:36:18 AMT 2024","5198","webkit","checkoutView.spec.js","","","","Verify That the ""Item Total"" is the sum of all chosen item prices",""
"passed","Mon May 20 19:35:25 AMT 2024","Mon May 20 19:35:37 AMT 2024","12284","firefox","checkoutView.spec.js","","","","Verify that shopping cart button returns ""Your cart"" page",""
"passed","Mon May 20 19:36:18 AMT 2024","Mon May 20 19:36:20 AMT 2024","1655","webkit","loginPage.spec.js","","","","Authorization with invalid username and valid password",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6690","chromium","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
"passed","Mon May 20 19:36:11 AMT 2024","Mon May 20 19:36:16 AMT 2024","4420","webkit","checkoutView.spec.js","","","","Verify that the Finish Button redirects to the Complete Page",""
"passed","Mon May 20 19:36:05 AMT 2024","Mon May 20 19:36:11 AMT 2024","6011","webkit","checkoutView.spec.js","","","","Verify that shopping cart button returns ""Your cart"" page",""
"passed","Mon May 20 19:35:37 AMT 2024","Mon May 20 19:35:44 AMT 2024","6715","firefox","checkoutView.spec.js","","","","Verify that the ""Payment Information"" and ""Shipping Information"" titles are displaying the right information",""
"passed","Mon May 20 19:35:49 AMT 2024","Mon May 20 19:35:54 AMT 2024","5024","firefox","loginPage.spec.js","","","","Authorization with empty password",""
"passed","Mon May 20 19:35:57 AMT 2024","Mon May 20 19:36:01 AMT 2024","3933","firefox","sortingBar.spec.js","","","","Verify Sorting in Low to High Order is working as expected, async",""
"passed","Mon May 20 19:35:23 AMT 2024","Mon May 20 19:35:25 AMT 2024","2048","chromium","sortingBar.spec.js","","","","Verify Sorting in Hight to Low Order is working as expected, async",""
"passed","Mon May 20 19:35:19 AMT 2024","Mon May 20 19:35:21 AMT 2024","1533","chromium","loginPage.spec.js","","","","Ensure that login is possible with the Enter button.",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:16 AMT 2024","2207","chromium","checkoutView.spec.js","","","","Verify that the ""Payment Information"" and ""Shipping Information"" titles are displaying the right information",""
"passed","Mon May 20 19:36:11 AMT 2024","Mon May 20 19:36:15 AMT 2024","4084","webkit","checkoutView.spec.js","","","","Verify that the ""Payment Information"" and ""Shipping Information"" titles are displaying the right information",""
"passed","Mon May 20 19:36:26 AMT 2024","Mon May 20 19:36:29 AMT 2024","3731","webkit","sortingBar.spec.js","","","","Verify Sorting in Low to High Order is working as expected, async",""
"passed","Mon May 20 19:35:26 AMT 2024","Mon May 20 19:35:39 AMT 2024","13240","firefox","checkoutView.spec.js","","","","Verify by clicking item title button returns one item page",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6615","chromium","checkoutView.spec.js","","","","Verify that shopping cart button returns ""Your cart"" page",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:20 AMT 2024","1506","chromium","loginPage.spec.js","","","","Authorization with empty password",""
"passed","Mon May 20 19:35:37 AMT 2024","Mon May 20 19:35:41 AMT 2024","4306","firefox","checkoutView.spec.js","","","","Verify that the Finish Button redirects to the Complete Page",""
"passed","Mon May 20 19:36:12 AMT 2024","Mon May 20 19:36:17 AMT 2024","4614","webkit","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:35:55 AMT 2024","Mon May 20 19:35:57 AMT 2024","2798","firefox","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:16 AMT 2024","2503","chromium","checkoutView.spec.js","","","","Verify that the Finish Button redirects to the Complete Page",""
"passed","Mon May 20 19:35:16 AMT 2024","Mon May 20 19:35:18 AMT 2024","1929","chromium","checkoutView.spec.js","","","","Verify that Total is the sum of Tax and Item Total",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:20 AMT 2024","1390","chromium","loginPage.spec.js","","","","Authorization with an empty username and password",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6703","chromium","checkoutView.spec.js","","","","Verify by clicking item title button returns one item page",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:19 AMT 2024","1453","chromium","loginPage.spec.js","","","","Authorization with empty username",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:17 AMT 2024","2756","chromium","checkoutView.spec.js","","","","Verify That the ""Item Total"" is the sum of all chosen item prices",""
"passed","Mon May 20 19:35:26 AMT 2024","Mon May 20 19:35:37 AMT 2024","11031","firefox","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
"passed","Mon May 20 19:36:23 AMT 2024","Mon May 20 19:36:26 AMT 2024","2937","webkit","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6514","chromium","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:35:54 AMT 2024","Mon May 20 19:35:59 AMT 2024","4178","firefox","sortingBar.spec.js","","","","Verify Sorting in A to Z Order is working as expected, async",""
"passed","Mon May 20 19:35:17 AMT 2024","Mon May 20 19:35:18 AMT 2024","1594","chromium","loginPage.spec.js","","","","Authorization with valid username and invalid password",""
"passed","Mon May 20 19:36:25 AMT 2024","Mon May 20 19:36:28 AMT 2024","2868","webkit","sortingBar.spec.js","","","","Verify Sorting in Hight to Low Order is working as expected, async",""
"passed","Mon May 20 19:35:59 AMT 2024","Mon May 20 19:36:01 AMT 2024","2759","firefox","sortingBar.spec.js","","","","Verify Sorting in Hight to Low Order is working as expected, async",""
"passed","Mon May 20 19:36:02 AMT 2024","Mon May 20 19:36:09 AMT 2024","6874","firefox","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async version 2/1",""
"failed","Mon May 20 19:35:20 AMT 2024","Mon May 20 19:35:22 AMT 2024","1967","chromium","sortingBar.spec.js","","","","Verify that sorting menu bar contains 4 sorting functions",""
"passed","Mon May 20 19:35:40 AMT 2024","Mon May 20 19:35:44 AMT 2024","4144","firefox","checkoutView.spec.js","","","","Verify That the ""Item Total"" is the sum of all chosen item prices",""
"passed","Mon May 20 19:35:21 AMT 2024","Mon May 20 19:35:23 AMT 2024","1699","chromium","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async",""
"passed","Mon May 20 19:36:16 AMT 2024","Mon May 20 19:36:19 AMT 2024","3587","webkit","checkoutView.spec.js","","","","Verify that Total is the sum of Tax and Item Total",""
"passed","Mon May 20 19:36:26 AMT 2024","Mon May 20 19:36:29 AMT 2024","2920","webkit","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async version 2/1",""
"passed","Mon May 20 19:36:20 AMT 2024","Mon May 20 19:36:22 AMT 2024","1877","webkit","loginPage.spec.js","","","","Authorization with empty password",""
"passed","Mon May 20 19:35:16 AMT 2024","Mon May 20 19:35:18 AMT 2024","1652","chromium","loginPage.spec.js","","","","Authorization with valid credentials",""
"passed","Mon May 20 19:35:50 AMT 2024","Mon May 20 19:35:53 AMT 2024","2602","firefox","loginPage.spec.js","","","","Authorization with an empty username and password",""
"passed","Mon May 20 19:35:47 AMT 2024","Mon May 20 19:35:50 AMT 2024","3249","firefox","loginPage.spec.js","","","","Authorization with empty username",""
"passed","Mon May 20 19:36:21 AMT 2024","Mon May 20 19:36:23 AMT 2024","1712","webkit","loginPage.spec.js","","","","Ensure that login is possible with the Enter button.",""
"passed","Mon May 20 19:35:41 AMT 2024","Mon May 20 19:35:51 AMT 2024","9831","firefox","checkoutView.spec.js","","","","Verify that Total is the sum of Tax and Item Total",""
"passed","Mon May 20 19:36:19 AMT 2024","Mon May 20 19:36:21 AMT 2024","1768","webkit","loginPage.spec.js","","","","Authorization with valid username and invalid password",""
"passed","Mon May 20 19:35:44 AMT 2024","Mon May 20 19:35:47 AMT 2024","3238","firefox","loginPage.spec.js","","","","Authorization with valid credentials",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:16 AMT 2024","2574","chromium","checkoutView.spec.js","","","","Verify That the ""tax"" is 8% of ""Item Total""",""
"passed","Mon May 20 19:36:15 AMT 2024","Mon May 20 19:36:19 AMT 2024","3544","webkit","checkoutView.spec.js","","","","Verify That the ""tax"" is 8% of ""Item Total""",""
"passed","Mon May 20 19:36:04 AMT 2024","Mon May 20 19:36:11 AMT 2024","7591","webkit","checkoutView.spec.js","","","","Verify by clicking item title button returns one item page",""
"passed","Mon May 20 19:36:22 AMT 2024","Mon May 20 19:36:25 AMT 2024","3133","webkit","sortingBar.spec.js","","","","Verify Sorting in A to Z Order is working as expected, async",""
"passed","Mon May 20 19:35:20 AMT 2024","Mon May 20 19:35:22 AMT 2024","1906","chromium","sortingBar.spec.js","","","","Verify Sorting in A to Z Order is working as expected, async",""
"passed","Mon May 20 19:35:44 AMT 2024","Mon May 20 19:35:49 AMT 2024","5126","firefox","loginPage.spec.js","","","","Authorization with valid username and invalid password",""
"failed","Mon May 20 19:36:21 AMT 2024","Mon May 20 19:36:27 AMT 2024","6387","webkit","loginPage.spec.js","","","","Ensure that the login button is unclickable when both the login and password fields are empty.",""
"passed","Mon May 20 19:35:23 AMT 2024","Mon May 20 19:35:24 AMT 2024","1501","chromium","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async version 2/1",""
"passed","Mon May 20 19:35:40 AMT 2024","Mon May 20 19:35:44 AMT 2024","4041","firefox","checkoutView.spec.js","","","","Verify That the ""tax"" is 8% of ""Item Total""",""
"passed","Mon May 20 19:35:44 AMT 2024","Mon May 20 19:35:47 AMT 2024","3132","firefox","loginPage.spec.js","","","","Authorization with invalid username and valid password",""
"failed","Mon May 20 19:35:50 AMT 2024","Mon May 20 19:36:02 AMT 2024","11119","firefox","loginPage.spec.js","","","","Ensure that the login button is unclickable when both the login and password fields are empty.",""
